campaign_id,campaign_date,campaign_topic,customer_segment,audience_size,target_description,control_group_size,sent,opens,clicks,conversions,open_rate,click_rate,open_to_click_rate,conversion_rate
47,2024-04-21,Major Shopping Event,Women 25-34,174179,Women 25-34,11820,162359,46654,18314,4541,28.74,11.28,39.25,2.8
48,2024-08-09,Beta Testing Launch,Fitness Enthusiasts 18-40,110751,Fitness Enthusiasts 18-40,6346,104405,21068,10011,3266,20.18,9.59,47.52,3.13
49,2025-01-02,Clearance Sale,Young Adults 20-30,73834,Young Adults 20-30,4476,69358,10663,3535,572,15.37,5.1,33.15,0.83
50,2025-03-04,Sustainability Product Launch,Young Professionals 25-40,186270,Young Professionals 25-40,12443,173827,39751,9741,7506,22.87,5.6,24.51,4.32
51,2024-12-13,Clearance Sale,Previous Customers,105338,Previous Customers,7833,97505,25964,4680,5377,26.63,4.8,18.02,5.51
52,2025-04-24,Seasonal Discount,Previous Customers,180538,Previous Customers,15181,165357,27528,19107,6941,16.65,11.56,69.41,4.2
53,2024-09-30,Clearance Sale,Fitness Enthusiasts 18-40,114995,Fitness Enthusiasts 18-40,6448,108547,17319,3655,7106,15.96,3.37,21.1,6.55
54,2024-07-07,Loyalty Program,Frequent Buyers 35-50,193516,Frequent Buyers 35-50,17867,175649,43048,13461,8420,24.51,7.66,31.27,4.79
55,2024-03-11,New Product Launch,Young Professionals 25-40,83059,Young Professionals 25-40,6069,76990,15185,7720,4422,19.72,10.03,50.84,5.74
56,2024-06-14,Holiday Follow Up,Fitness Enthusiasts 18-40,117540,Fitness Enthusiasts 18-40,10083,107457,25874,11372,5642,24.08,10.58,43.95,5.25
57,2024-11-30,Loyalty Program,Environment Advocates,116184,Environment Advocates,7638,108546,27054,5886,7069,24.92,5.42,21.76,6.51
58,2024-10-24,Brand Awareness,Women 25-34,117065,Women 25-34,8045,109020,16935,3746,6931,15.53,3.44,22.12,6.36
59,2024-05-04,Clearance Sale,Young Adults 20-30,92217,Young Adults 20-30,4875,87342,24454,4434,5549,28.0,5.08,18.13,6.35
60,2024-04-06,Clearance Sale,Fitness Enthusiasts 18-40,70581,Fitness Enthusiasts 18-40,6224,64357,16805,4375,4172,26.11,6.8,26.03,6.48
61,2025-03-29,Holiday Follow Up,Seniors 55+,141565,Seniors 55+,11207,130358,37372,9000,8668,28.67,6.9,24.08,6.65
62,2024-08-29,Beta Testing Launch,Women 25-34,194747,Women 25-34,15669,179078,28018,19264,1782,15.65,10.76,68.76,1.0
63,2024-08-30,New Product Launch,General Audience,73496,General Audience,4603,68893,15770,6259,3602,22.89,9.09,39.69,5.23
64,2025-04-08,Beta Testing Launch,Seniors 55+,64558,Seniors 55+,4903,59655,16901,5187,1409,28.33,8.7,30.69,2.36
65,2025-02-17,Clearance Sale,Shopaholics 25-44,93589,Shopaholics 25-44,9052,84537,21202,7256,3821,25.08,8.58,34.22,4.52
66,2025-01-03,Beta Testing Launch,Seniors 55+,56936,Seniors 55+,4033,52903,10095,6179,348,19.08,11.68,61.21,0.66
67,2024-02-08,School Supplies Promo,Fitness Enthusiasts 18-40,157687,Fitness Enthusiasts 18-40,14348,143339,30715,16878,7776,21.43,11.78,54.95,5.43
68,2024-11-18,Clearance Sale,Frequent Buyers 35-50,156855,Frequent Buyers 35-50,9915,146940,27514,16573,2974,18.73,11.28,60.23,2.02
69,2025-01-08,Holiday Sales Event,General Audience,110657,General Audience,8995,101662,22580,5714,1684,22.21,5.62,25.31,1.66
70,2025-05-02,Clearance Sale,Parents 30-50,64363,Parents 30-50,4671,59692,14295,7038,3126,23.95,11.79,49.23,5.24
71,2024-02-06,Fitness Gear Promo,Seniors 55+,158683,Seniors 55+,13687,144996,30137,8039,8166,20.78,5.54,26.67,5.63
72,2025-06-22,Seasonal Discount,Fitness Enthusiasts 18-40,149884,Fitness Enthusiasts 18-40,10333,139551,24171,14912,1003,17.32,10.69,61.69,0.72
73,2024-03-05,Holiday Follow Up,Frequent Buyers 35-50,70111,Frequent Buyers 35-50,5111,65000,14962,5886,3788,23.02,9.06,39.34,5.83
74,2024-12-11,Beta Testing Launch,Previous Customers,144539,Previous Customers,12536,132003,34912,15046,4195,26.45,11.4,43.1,3.18
75,2025-01-20,Major Shopping Event,Parents 30-50,62125,Parents 30-50,5863,56262,16048,5152,3836,28.53,9.16,32.1,6.82
76,2025-01-25,Clearance Sale,Previous Customers,61464,Previous Customers,5578,55886,16212,6137,1707,29.01,10.98,37.85,3.05
77,2025-06-16,Loyalty Program,Previous Customers,102972,Previous Customers,9113,93859,16114,10729,5876,17.17,11.43,66.58,6.26
78,2025-01-10,New Product Launch,Shopaholics 25-44,186872,Shopaholics 25-44,10550,176322,41243,6386,6258,23.39,3.62,15.48,3.55
79,2024-06-19,Beta Testing Launch,Parents 30-50,130709,Parents 30-50,9659,121050,23587,10948,6001,19.49,9.04,46.42,4.96
80,2024-10-06,Fitness Gear Promo,General Audience,127742,General Audience,10387,117355,21632,9758,6936,18.43,8.32,45.11,5.91
81,2025-04-06,Sustainability Product Launch,Fitness Enthusiasts 18-40,62722,Fitness Enthusiasts 18-40,4421,58301,13003,4005,1836,22.3,6.87,30.8,3.15
82,2024-12-18,Fitness Gear Promo,Shopaholics 25-44,177741,Shopaholics 25-44,13299,164442,39264,17840,4024,23.88,10.85,45.44,2.45
83,2024-02-24,Holiday Follow Up,Previous Customers,188223,Previous Customers,12944,175279,41051,15530,6953,23.42,8.86,37.83,3.97
84,2024-06-18,Beta Testing Launch,Seniors 55+,195830,Seniors 55+,15830,180000,46116,12823,9065,25.62,7.12,27.81,5.04
85,2025-06-23,Beta Testing Launch,Fitness Enthusiasts 18-40,113233,Fitness Enthusiasts 18-40,7124,106109,31593,11476,4417,29.77,10.82,36.32,4.16
86,2024-02-17,Holiday Sales Event,Women 25-34,59995,Women 25-34,3658,56337,11245,1826,1371,19.96,3.24,16.24,2.43
87,2024-06-21,Fitness Gear Promo,Previous Customers,157370,Previous Customers,13480,143890,38573,6104,2707,26.81,4.24,15.82,1.88
88,2024-04-28,Holiday Sales Event,Young Adults 20-30,95549,Young Adults 20-30,8521,87028,19511,6944,1005,22.42,7.98,35.59,1.16
89,2024-09-13,Holiday Sales Event,Frequent Buyers 35-50,173492,Frequent Buyers 35-50,13920,159572,28327,19128,7457,17.75,11.99,67.53,4.67
90,2024-05-21,New Product Launch,Previous Customers,89994,Previous Customers,6798,83196,21956,2515,2724,26.39,3.02,11.45,3.27
91,2025-06-19,Major Shopping Event,Parents 30-50,72247,Parents 30-50,5616,66631,12191,4582,2483,18.3,6.88,37.59,3.73
92,2024-03-18,Clearance Sale,Women 25-34,130909,Women 25-34,11520,119389,33901,9176,4203,28.4,7.69,27.07,3.52
93,2024-03-31,Holiday Follow Up,Previous Customers,56740,Previous Customers,3463,53277,10127,3219,3135,19.01,6.04,31.79,5.89
94,2024-03-31,Holiday Follow Up,Women 25-34,91633,Women 25-34,4811,86822,18742,6548,5755,21.59,7.54,34.94,6.63
95,2025-04-17,School Supplies Promo,Previous Customers,115695,Previous Customers,7509,108186,21190,9750,7086,19.59,9.01,46.01,6.55
96,2025-01-15,Loyalty Program,Young Professionals 25-40,109057,Young Professionals 25-40,9036,100021,16357,4032,4632,16.35,4.03,24.65,4.63
97,2025-07-15,Holiday Sales Event,General Audience,163790,General Audience,10356,153434,24837,12818,7211,16.19,8.35,51.61,4.7
98,2024-03-06,Brand Awareness,Previous Customers,62119,Previous Customers,4536,57583,12089,3177,724,21.0,5.52,26.28,1.26
99,2025-01-24,Beta Testing Launch,Seniors 55+,130209,Seniors 55+,7248,122961,24156,7714,8109,19.65,6.27,31.93,6.6
100,2025-04-28,New Product Launch,Young Professionals 25-40,179287,Young Professionals 25-40,17851,161436,24547,10476,7734,15.21,6.49,42.68,4.79
101,2025-02-03,School Supplies Promo,Previous Customers,170987,Previous Customers,12772,158215,38151,17176,9915,24.11,10.86,45.02,6.27
102,2025-02-24,Holiday Follow Up,Seniors 55+,144745,Seniors 55+,14025,130720,36209,5134,9010,27.7,3.93,14.18,6.89
103,2025-02-23,New Product Launch,Previous Customers,172105,Previous Customers,12926,159179,25596,14085,6255,16.08,8.85,55.03,3.93
104,2024-04-30,New Product Launch,Previous Customers,82419,Previous Customers,6098,76321,14151,8916,3121,18.54,11.68,63.01,4.09
105,2024-06-14,Brand Awareness,Frequent Buyers 35-50,87113,Frequent Buyers 35-50,5403,81710,17049,5487,4656,20.87,6.72,32.18,5.7
106,2024-08-21,Holiday Follow Up,General Audience,61097,General Audience,6083,55014,11263,3766,2876,20.47,6.85,33.44,5.23
107,2024-07-13,New Product Launch,Young Adults 20-30,84516,Young Adults 20-30,6433,78083,21329,5647,2297,27.32,7.23,26.48,2.94
108,2024-02-26,Holiday Sales Event,Young Professionals 25-40,140263,Young Professionals 25-40,9138,131125,29899,11943,7626,22.8,9.11,39.94,5.82
109,2024-02-24,Fitness Gear Promo,Environment Advocates,195602,Environment Advocates,10684,184918,33243,20271,2307,17.98,10.96,60.98,1.25
110,2024-10-18,Clearance Sale,Young Professionals 25-40,70031,Young Professionals 25-40,6357,63674,10670,4184,1189,16.76,6.57,39.21,1.87
111,2024-09-07,Fitness Gear Promo,Environment Advocates,85832,Environment Advocates,8477,77355,18777,2536,4676,24.27,3.28,13.51,6.05
112,2024-06-17,Sustainability Product Launch,Young Professionals 25-40,84072,Young Professionals 25-40,8304,75768,13571,8324,669,17.91,10.99,61.34,0.88
113,2025-06-08,Fitness Gear Promo,Tech Enthusiasts 18-45,118478,Tech Enthusiasts 18-45,9766,108712,25196,4665,946,23.18,4.29,18.51,0.87
114,2024-06-02,Seasonal Discount,Frequent Buyers 35-50,114244,Frequent Buyers 35-50,7537,106707,28261,3534,5601,26.48,3.31,12.5,5.25
115,2024-06-07,Clearance Sale,Young Professionals 25-40,106165,Young Professionals 25-40,8260,97905,17148,8518,5906,17.52,8.7,49.67,6.03
116,2024-10-17,School Supplies Promo,Parents 30-50,165035,Parents 30-50,13200,151835,32788,14772,8207,21.59,9.73,45.05,5.41
117,2024-07-31,Brand Awareness,Frequent Buyers 35-50,165752,Frequent Buyers 35-50,15659,150093,32993,7797,3410,21.98,5.19,23.63,2.27
118,2024-10-22,Beta Testing Launch,Fitness Enthusiasts 18-40,114309,Fitness Enthusiasts 18-40,9628,104681,18348,3953,3153,17.53,3.78,21.54,3.01
119,2024-04-01,Holiday Sales Event,Environment Advocates,106485,Environment Advocates,6800,99685,18057,7093,6534,18.11,7.12,39.28,6.55
120,2025-02-01,Clearance Sale,Tech Enthusiasts 18-45,55243,Tech Enthusiasts 18-45,4894,50349,14199,4084,1883,28.2,8.11,28.76,3.74
121,2024-02-08,Major Shopping Event,Frequent Buyers 35-50,142516,Frequent Buyers 35-50,7347,135169,22560,8661,7259,16.69,6.41,38.39,5.37
122,2024-07-28,New Product Launch,Previous Customers,182754,Previous Customers,14467,168287,41228,6416,1564,24.5,3.81,15.56,0.93
123,2025-02-24,Major Shopping Event,Previous Customers,166656,Previous Customers,13055,153601,44360,16409,6336,28.88,10.68,36.99,4.13
124,2025-06-27,Holiday Follow Up,Fitness Enthusiasts 18-40,92572,Fitness Enthusiasts 18-40,6917,85655,14133,8689,4078,16.5,10.15,61.48,4.76
125,2024-04-17,New Product Launch,Young Adults 20-30,135329,Young Adults 20-30,11080,124249,35709,12059,8547,28.74,9.71,33.77,6.88
126,2025-05-19,Holiday Follow Up,Parents 30-50,93075,Parents 30-50,6312,86763,19981,4238,2053,23.03,4.89,21.21,2.37
127,2025-04-29,Holiday Sales Event,Women 25-34,171098,Women 25-34,9000,162098,28453,16216,4928,17.55,10.0,56.99,3.04
128,2024-07-15,Clearance Sale,Shopaholics 25-44,65733,Shopaholics 25-44,4062,61671,15660,4751,4135,25.39,7.71,30.34,6.71
129,2024-12-17,Loyalty Program,Young Adults 20-30,137677,Young Adults 20-30,9262,128415,36375,14505,5969,28.33,11.3,39.88,4.65
130,2025-03-04,Brand Awareness,Women 25-34,104166,Women 25-34,8257,95909,19668,3750,5959,20.51,3.91,19.07,6.21
131,2025-05-01,New Product Launch,Environment Advocates,126731,Environment Advocates,11728,115003,19020,11664,5085,16.54,10.14,61.32,4.42
132,2024-04-12,Holiday Sales Event,Shopaholics 25-44,132686,Shopaholics 25-44,11929,120757,34692,11334,4481,28.73,9.39,32.67,3.71
133,2024-11-28,Holiday Follow Up,Previous Customers,118039,Previous Customers,5976,112063,25478,10227,6378,22.74,9.13,40.14,5.69
134,2024-04-05,Beta Testing Launch,General Audience,135401,General Audience,10449,124952,34760,11339,7180,27.82,9.07,32.62,5.75
135,2025-01-09,Seasonal Discount,Environment Advocates,55804,Environment Advocates,5337,50467,7731,4229,1072,15.32,8.38,54.7,2.12
136,2024-07-16,Seasonal Discount,General Audience,144794,General Audience,11784,133010,34910,6713,9278,26.25,5.05,19.23,6.98
137,2024-12-22,Holiday Sales Event,Shopaholics 25-44,197360,Shopaholics 25-44,19426,177934,40018,15103,11718,22.49,8.49,37.74,6.59
138,2025-05-05,Loyalty Program,General Audience,77135,General Audience,6515,70620,17500,2428,3722,24.78,3.44,13.87,5.27
139,2025-07-12,Beta Testing Launch,Women 25-34,165359,Women 25-34,10668,154691,27547,17022,8298,17.81,11.0,61.79,5.36
140,2024-08-08,Beta Testing Launch,Previous Customers,103940,Previous Customers,5793,98147,21432,11110,545,21.84,11.32,51.84,0.56
141,2025-03-13,Sustainability Product Launch,Environment Advocates,95578,Environment Advocates,9246,86332,22865,9994,5986,26.49,11.58,43.71,6.93
142,2024-04-03,Holiday Follow Up,Young Adults 20-30,57468,Young Adults 20-30,4814,52654,8052,5766,459,15.29,10.95,71.61,0.87
143,2024-04-03,Sustainability Product Launch,Parents 30-50,199031,Parents 30-50,14100,184931,28067,6026,4862,15.18,3.26,21.47,2.63
144,2024-12-12,Major Shopping Event,Seniors 55+,199671,Seniors 55+,17738,181933,46273,6432,6927,25.43,3.54,13.9,3.81
145,2024-07-30,Major Shopping Event,Young Professionals 25-40,139986,Young Professionals 25-40,7757,132229,27691,8897,4506,20.94,6.73,32.13,3.41
146,2024-10-20,New Product Launch,Fitness Enthusiasts 18-40,83119,Fitness Enthusiasts 18-40,6552,76567,13059,2909,2954,17.06,3.8,22.28,3.86
147,2024-08-03,Holiday Sales Event,Women 25-34,185557,Women 25-34,14776,170781,42213,15868,3911,24.72,9.29,37.59,2.29
148,2024-09-07,Brand Awareness,Seniors 55+,128393,Seniors 55+,8663,119730,18118,10864,6009,15.13,9.07,59.96,5.02
149,2024-04-23,Fitness Gear Promo,Environment Advocates,104906,Environment Advocates,8824,96082,23891,7064,5720,24.87,7.35,29.57,5.95
150,2025-06-21,Seasonal Discount,Frequent Buyers 35-50,51090,Frequent Buyers 35-50,4102,46988,11207,3259,2693,23.85,6.94,29.08,5.73
151,2025-03-10,Sustainability Product Launch,Parents 30-50,184973,Parents 30-50,9653,175320,34847,19691,10491,19.88,11.23,56.51,5.98
152,2024-05-06,School Supplies Promo,Previous Customers,199691,Previous Customers,10949,188742,49608,21575,6429,26.28,11.43,43.49,3.41
153,2024-05-07,Beta Testing Launch,Tech Enthusiasts 18-45,94158,Tech Enthusiasts 18-45,7377,86781,13857,8870,3573,15.97,10.22,64.01,4.12
154,2024-09-25,Seasonal Discount,Shopaholics 25-44,77823,Shopaholics 25-44,6060,71763,20094,5044,2886,28.0,7.03,25.1,4.02
155,2024-02-28,Beta Testing Launch,Shopaholics 25-44,136757,Shopaholics 25-44,8226,128531,26823,13831,7768,20.87,10.76,51.56,6.04
156,2025-01-08,Holiday Sales Event,Tech Enthusiasts 18-45,113162,Tech Enthusiasts 18-45,8160,105002,21250,10214,926,20.24,9.73,48.07,0.88
157,2024-05-12,Holiday Follow Up,Tech Enthusiasts 18-45,73875,Tech Enthusiasts 18-45,4596,69279,10914,3412,942,15.75,4.93,31.26,1.36
158,2025-01-05,Brand Awareness,Shopaholics 25-44,148437,Shopaholics 25-44,14834,133603,28408,9777,7656,21.26,7.32,34.42,5.73
159,2025-01-14,Major Shopping Event,Women 25-34,181471,Women 25-34,12441,169030,44550,19081,4756,26.36,11.29,42.83,2.81
160,2024-02-24,Clearance Sale,Seniors 55+,188188,Seniors 55+,15375,172813,27483,6397,8732,15.9,3.7,23.28,5.05
161,2025-02-08,New Product Launch,Shopaholics 25-44,90428,Shopaholics 25-44,6137,84291,21839,2718,2343,25.91,3.23,12.45,2.78
162,2024-11-25,Clearance Sale,Young Adults 20-30,167575,Young Adults 20-30,9612,157963,44407,6196,1092,28.11,3.92,13.95,0.69
163,2025-07-31,Clearance Sale,Environment Advocates,142363,Environment Advocates,8255,134108,38727,13951,7755,28.88,10.4,36.02,5.78
164,2024-07-02,Loyalty Program,Fitness Enthusiasts 18-40,75766,Fitness Enthusiasts 18-40,6600,69166,19771,7916,2678,28.59,11.45,40.04,3.87
165,2024-10-04,Brand Awareness,Women 25-34,144975,Women 25-34,9859,135116,32905,12154,6578,24.35,9.0,36.94,4.87
166,2025-04-01,Clearance Sale,Young Adults 20-30,153020,Young Adults 20-30,11475,141545,28865,5997,8179,20.39,4.24,20.78,5.78
167,2025-03-10,Seasonal Discount,Previous Customers,122447,Previous Customers,10785,111662,31513,10484,2794,28.22,9.39,33.27,2.5
168,2025-04-28,School Supplies Promo,Young Adults 20-30,168179,Young Adults 20-30,12190,155989,35725,7506,2073,22.9,4.81,21.01,1.33
169,2024-11-20,Seasonal Discount,Young Professionals 25-40,72064,Young Professionals 25-40,4391,67673,16879,7855,2695,24.94,11.61,46.54,3.98
170,2025-07-25,Sustainability Product Launch,Frequent Buyers 35-50,137881,Frequent Buyers 35-50,12948,124933,29552,6228,2718,23.65,4.99,21.07,2.18
171,2024-10-13,Sustainability Product Launch,Fitness Enthusiasts 18-40,130690,Fitness Enthusiasts 18-40,9864,120826,26483,10838,5923,21.92,8.97,40.92,4.9
172,2025-03-03,Fitness Gear Promo,Environment Advocates,84699,Environment Advocates,5002,79697,20069,7716,3570,25.18,9.68,38.45,4.48
173,2024-09-01,Sustainability Product Launch,Shopaholics 25-44,56597,Shopaholics 25-44,4469,52128,13107,3537,296,25.14,6.79,26.99,0.57
174,2025-04-28,Clearance Sale,Previous Customers,110957,Previous Customers,9063,101894,23581,7044,2504,23.14,6.91,29.87,2.46
175,2025-01-24,Major Shopping Event,Seniors 55+,70899,Seniors 55+,3936,66963,14198,7273,2521,21.2,10.86,51.23,3.77
176,2024-12-09,Fitness Gear Promo,Young Professionals 25-40,185222,Young Professionals 25-40,15227,169995,42894,6500,3543,25.23,3.82,15.15,2.08
177,2024-10-05,Beta Testing Launch,Frequent Buyers 35-50,130161,Frequent Buyers 35-50,8149,122012,30397,14544,992,24.91,11.92,47.85,0.81
178,2025-03-21,Loyalty Program,Young Professionals 25-40,196658,Young Professionals 25-40,17634,179024,38759,9595,8108,21.65,5.36,24.76,4.53
179,2025-01-18,New Product Launch,Environment Advocates,82178,Environment Advocates,5128,77050,20000,3702,1258,25.96,4.81,18.51,1.63
180,2025-06-01,Brand Awareness,Women 25-34,94367,Women 25-34,8344,86023,21695,9167,5423,25.22,10.66,42.25,6.3
181,2025-01-01,Loyalty Program,Fitness Enthusiasts 18-40,75581,Fitness Enthusiasts 18-40,5658,69923,16145,3796,3965,23.09,5.43,23.51,5.67
182,2024-02-18,Holiday Follow Up,Parents 30-50,88708,Parents 30-50,7363,81345,14905,4586,4011,18.32,5.64,30.77,4.93
183,2025-04-02,Clearance Sale,Shopaholics 25-44,102085,Shopaholics 25-44,9109,92976,21210,9729,4912,22.81,10.46,45.87,5.28
184,2025-02-02,Holiday Sales Event,Shopaholics 25-44,147060,Shopaholics 25-44,11463,135597,25000,14979,1556,18.44,11.05,59.92,1.15
185,2024-09-11,Fitness Gear Promo,Young Professionals 25-40,101962,Young Professionals 25-40,8759,93203,19342,9248,1396,20.75,9.92,47.81,1.5
186,2024-10-31,New Product Launch,Young Adults 20-30,176855,Young Adults 20-30,16777,160078,33336,6728,1419,20.83,4.2,20.18,0.89
187,2024-03-14,Beta Testing Launch,Frequent Buyers 35-50,184623,Frequent Buyers 35-50,11632,172991,50586,7345,11424,29.24,4.25,14.52,6.6
188,2024-07-04,Major Shopping Event,Shopaholics 25-44,67023,Shopaholics 25-44,5664,61359,15643,4037,4284,25.49,6.58,25.81,6.98
189,2024-08-21,Major Shopping Event,Previous Customers,78279,Previous Customers,4033,74246,21727,6729,1270,29.26,9.06,30.97,1.71
190,2025-04-18,School Supplies Promo,Environment Advocates,154710,Environment Advocates,12543,142167,38962,4604,9307,27.41,3.24,11.82,6.55
191,2024-12-17,Fitness Gear Promo,Environment Advocates,132190,Environment Advocates,10828,121362,19059,4188,3677,15.7,3.45,21.97,3.03
192,2025-06-15,Clearance Sale,Environment Advocates,119546,Environment Advocates,10607,108939,27573,4538,2577,25.31,4.17,16.46,2.37
193,2024-07-10,Seasonal Discount,Environment Advocates,155653,Environment Advocates,10525,145128,22733,7201,4627,15.66,4.96,31.68,3.19
