campaign_id,campaign_date,campaign_topic,customer_segment,audience_size,target_description,control_group_size,sent,opens,clicks,conversions,open_rate,click_rate,open_to_click_rate,conversion_rate
18,2024-08-12,Loyalty Program,Young Professionals 25-40,130668,Young Professionals 25-40,10005,120663,31987,6985,4782,26.51,5.79,21.84,3.96
19,2024-03-10,Clearance Sale,Frequent Buyers 35-50,171674,Frequent Buyers 35-50,12099,159575,38153,5293,7251,23.91,3.32,13.87,4.54
20,2024-02-27,Fitness Gear Promo,Seniors 55+,147729,Seniors 55+,11274,136455,32566,14844,2473,23.87,10.88,45.58,1.81
21,2024-11-12,Major Shopping Event,Fitness Enthusiasts 18-40,173364,Fitness Enthusiasts 18-40,12016,161348,32903,17131,7542,20.39,10.62,52.07,4.67
22,2025-04-13,Holiday Sales Event,Parents 30-50,150250,Parents 30-50,13950,136300,37982,6544,9437,27.87,4.8,17.23,6.92
23,2025-06-22,Brand Awareness,Seniors 55+,50419,Seniors 55+,4602,45817,12933,3943,1436,28.23,8.61,30.49,3.14
24,2024-05-17,Holiday Sales Event,Young Professionals 25-40,187741,Young Professionals 25-40,16197,171544,35980,18133,10799,20.97,10.57,50.4,6.3
25,2024-09-05,Clearance Sale,Environment Advocates,79020,Environment Advocates,7762,71258,14382,2157,4692,20.18,3.03,15.0,6.58
26,2025-02-21,New Product Launch,Shopaholics 25-44,187851,Shopaholics 25-44,16438,171413,31042,11881,5472,18.11,6.93,38.27,3.19
27,2024-01-27,Holiday Sales Event,Shopaholics 25-44,137338,Shopaholics 25-44,13476,123862,26753,11171,7518,21.6,9.02,41.76,6.07
28,2025-01-25,Brand Awareness,Fitness Enthusiasts 18-40,58150,Fitness Enthusiasts 18-40,5218,52932,15246,3852,617,28.8,7.28,25.27,1.17
29,2025-05-04,Fitness Gear Promo,Fitness Enthusiasts 18-40,64531,Fitness Enthusiasts 18-40,5714,58817,15452,3116,1542,26.27,5.3,20.17,2.62
30,2025-06-06,Sustainability Product Launch,Parents 30-50,134770,Parents 30-50,10344,124426,35990,4004,2213,28.92,3.22,11.13,1.78
31,2025-06-16,Loyalty Program,General Audience,149364,General Audience,13420,135944,35076,8310,1495,25.8,6.11,23.69,1.1
32,2025-01-02,Fitness Gear Promo,General Audience,180871,General Audience,14853,166018,45879,11558,10104,27.64,6.96,25.19,6.09
33,2025-06-10,New Product Launch,Previous Customers,56068,Previous Customers,5448,50620,8772,2833,2535,17.33,5.6,32.3,5.01
34,2024-01-28,Seasonal Discount,General Audience,139519,General Audience,13523,125996,36419,14282,8668,28.91,11.34,39.22,6.88
35,2024-07-20,Sustainability Product Launch,Environment Advocates,121026,Environment Advocates,6196,114830,19188,13192,4403,16.71,11.49,68.75,3.83
36,2025-07-06,Fitness Gear Promo,General Audience,171247,General Audience,10316,160931,32154,10066,7162,19.98,6.26,31.31,4.45
37,2025-04-24,Loyalty Program,General Audience,60863,General Audience,4189,56674,10518,5934,880,18.56,10.47,56.42,1.55
38,2024-07-16,New Product Launch,Young Professionals 25-40,83109,Young Professionals 25-40,6651,76458,21424,3493,2160,28.02,4.57,16.3,2.83
39,2025-06-11,Brand Awareness,Shopaholics 25-44,164847,Shopaholics 25-44,9493,155354,41354,7126,965,26.62,4.59,17.23,0.62
40,2024-07-24,Holiday Sales Event,Tech Enthusiasts 18-45,75994,Tech Enthusiasts 18-45,4647,71347,16664,7767,3311,23.36,10.89,46.61,4.64
41,2025-03-31,Loyalty Program,Previous Customers,153784,Previous Customers,13276,140508,39870,7218,1142,28.38,5.14,18.1,0.81
42,2025-03-05,School Supplies Promo,Parents 30-50,188716,Parents 30-50,17843,170873,38453,12280,11543,22.5,7.19,31.94,6.76
43,2025-01-19,Holiday Follow Up,Shopaholics 25-44,106449,Shopaholics 25-44,10052,96397,23665,10522,6213,24.55,10.92,44.46,6.45
44,2024-06-18,Seasonal Discount,Frequent Buyers 35-50,165078,Frequent Buyers 35-50,13681,151397,28663,8531,10438,18.93,5.64,29.76,6.89
45,2025-01-10,Seasonal Discount,Young Professionals 25-40,193520,Young Professionals 25-40,18030,175490,45806,7016,10178,26.1,4.0,15.32,5.8
46,2025-03-19,Major Shopping Event,Environment Advocates,195362,Environment Advocates,17855,177507,51293,9604,4143,28.9,5.41,18.72,2.33
47,2024-09-11,School Supplies Promo,Frequent Buyers 35-50,62016,Frequent Buyers 35-50,3601,58415,8960,5461,2499,15.34,9.35,60.95,4.28
48,2024-05-26,Clearance Sale,Fitness Enthusiasts 18-40,107190,Fitness Enthusiasts 18-40,9653,97537,24590,3042,4594,25.21,3.12,12.37,4.71
49,2024-06-16,Seasonal Discount,Parents 30-50,92781,Parents 30-50,6852,85929,25022,5071,5239,29.12,5.9,20.27,6.1
50,2025-05-03,School Supplies Promo,Tech Enthusiasts 18-45,83589,Tech Enthusiasts 18-45,7060,76529,22476,8625,5283,29.37,11.27,38.37,6.9
51,2024-11-30,Beta Testing Launch,Parents 30-50,158361,Parents 30-50,15447,142914,38225,11329,9156,26.75,7.93,29.64,6.41
52,2025-06-16,Loyalty Program,Young Professionals 25-40,78788,Young Professionals 25-40,6138,72650,19292,7881,4784,26.56,10.85,40.85,6.59
53,2024-12-23,Loyalty Program,Women 25-34,115523,Women 25-34,7817,107706,20381,11982,7405,18.92,11.13,58.79,6.88
54,2024-03-28,Beta Testing Launch,Frequent Buyers 35-50,90694,Frequent Buyers 35-50,8440,82254,16305,3179,1520,19.82,3.87,19.5,1.85
55,2025-02-07,Beta Testing Launch,Seniors 55+,81974,Seniors 55+,6957,75017,19439,4837,4949,25.91,6.45,24.88,6.6
56,2025-06-28,Major Shopping Event,Young Adults 20-30,193186,Young Adults 20-30,13503,179683,38808,20477,10746,21.6,11.4,52.76,5.98
57,2025-05-28,Beta Testing Launch,Women 25-34,86085,Women 25-34,8145,77940,23092,6114,519,29.63,7.85,26.48,0.67
58,2024-07-27,Sustainability Product Launch,Parents 30-50,173938,Parents 30-50,13695,160243,25398,9996,10116,15.85,6.24,39.36,6.31
59,2024-05-15,Major Shopping Event,General Audience,134958,General Audience,11751,123207,26601,6177,6188,21.59,5.01,23.22,5.02
60,2024-10-07,Holiday Sales Event,Parents 30-50,79577,Parents 30-50,5049,74528,15476,3713,951,20.77,4.98,23.99,1.28
61,2024-05-07,New Product Launch,Young Adults 20-30,82907,Young Adults 20-30,4311,78596,22957,8340,1423,29.21,10.61,36.33,1.81
62,2024-09-12,Clearance Sale,Parents 30-50,98374,Parents 30-50,5893,92481,16903,10860,4069,18.28,11.74,64.25,4.4
63,2025-03-03,New Product Launch,Previous Customers,197657,Previous Customers,10807,186850,31611,22224,9256,16.92,11.89,70.3,4.95
64,2025-05-11,New Product Launch,Tech Enthusiasts 18-45,128371,Tech Enthusiasts 18-45,8451,119920,22487,6308,5819,18.75,5.26,28.05,4.85
65,2024-02-12,Holiday Follow Up,Seniors 55+,106880,Seniors 55+,8286,98594,14937,3482,5949,15.15,3.53,23.31,6.03
66,2024-12-08,Holiday Sales Event,Parents 30-50,103720,Parents 30-50,7489,96231,20946,6031,1831,21.77,6.27,28.79,1.9
67,2025-05-03,Fitness Gear Promo,Fitness Enthusiasts 18-40,195113,Fitness Enthusiasts 18-40,17520,177593,44628,8298,8365,25.13,4.67,18.59,4.71
68,2024-02-25,Brand Awareness,Environment Advocates,85543,Environment Advocates,4289,81254,13673,3994,4252,16.83,4.92,29.21,5.23
69,2025-03-06,Holiday Follow Up,Environment Advocates,120610,Environment Advocates,10100,110510,27776,4216,6246,25.13,3.82,15.18,5.65
70,2024-06-02,School Supplies Promo,Parents 30-50,137401,Parents 30-50,11656,125745,34766,12933,1846,27.65,10.29,37.2,1.47
71,2025-07-05,Sustainability Product Launch,Frequent Buyers 35-50,105996,Frequent Buyers 35-50,9426,96570,17044,8797,3872,17.65,9.11,51.61,4.01
72,2024-12-30,Seasonal Discount,Women 25-34,181214,Women 25-34,14528,166686,33343,7938,3418,20.0,4.76,23.81,2.05
73,2024-12-07,Seasonal Discount,General Audience,152582,General Audience,13123,139459,27349,9082,4446,19.61,6.51,33.21,3.19
74,2024-11-12,Fitness Gear Promo,Frequent Buyers 35-50,64327,Frequent Buyers 35-50,4030,60297,16970,6850,1828,28.15,11.36,40.37,3.03
75,2025-03-30,Clearance Sale,Tech Enthusiasts 18-45,77364,Tech Enthusiasts 18-45,5542,71822,18965,4765,2233,26.41,6.64,25.13,3.11
76,2025-04-06,Clearance Sale,Young Adults 20-30,93775,Young Adults 20-30,7771,86004,21789,9697,1403,25.34,11.28,44.5,1.63
77,2025-02-12,Loyalty Program,Fitness Enthusiasts 18-40,74358,Fitness Enthusiasts 18-40,7402,66956,14571,2767,1273,21.76,4.13,18.99,1.9
78,2024-12-04,Fitness Gear Promo,Previous Customers,83972,Previous Customers,7189,76783,11814,8829,1489,15.39,11.5,74.73,1.94
79,2025-04-28,Beta Testing Launch,Young Adults 20-30,74494,Young Adults 20-30,5412,69082,12844,7334,998,18.59,10.62,57.1,1.45
80,2024-10-27,Holiday Sales Event,Women 25-34,99638,Women 25-34,6866,92772,26336,7897,1002,28.39,8.51,29.99,1.08
81,2025-03-21,School Supplies Promo,Shopaholics 25-44,146248,Shopaholics 25-44,8222,138026,35377,6987,1110,25.63,5.06,19.75,0.8
82,2025-02-12,Beta Testing Launch,Fitness Enthusiasts 18-40,120634,Fitness Enthusiasts 18-40,7511,113123,27315,9388,2018,24.15,8.3,34.37,1.78
83,2024-08-12,Loyalty Program,Young Adults 20-30,147450,Young Adults 20-30,11021,136429,35109,13706,7356,25.73,10.05,39.04,5.39
84,2024-09-25,Major Shopping Event,Frequent Buyers 35-50,76999,Frequent Buyers 35-50,4926,72073,13773,6981,1616,19.11,9.69,50.69,2.24
85,2025-03-13,Seasonal Discount,General Audience,186216,General Audience,16048,170168,44322,5558,3983,26.05,3.27,12.54,2.34
86,2024-05-31,Holiday Sales Event,Parents 30-50,182622,Parents 30-50,11279,171343,34577,17287,1083,20.18,10.09,50.0,0.63
87,2024-10-09,Fitness Gear Promo,Frequent Buyers 35-50,120312,Frequent Buyers 35-50,8276,112036,19543,10313,7836,17.44,9.21,52.77,6.99
88,2025-07-06,Fitness Gear Promo,Parents 30-50,135366,Parents 30-50,12926,122440,35757,14275,3635,29.2,11.66,39.92,2.97
89,2025-06-11,Clearance Sale,Women 25-34,96172,Women 25-34,9572,86600,22394,7119,4577,25.86,8.22,31.79,5.29
90,2024-04-26,Clearance Sale,General Audience,196489,General Audience,11741,184748,47703,20438,8622,25.82,11.06,42.84,4.67
91,2024-05-01,Major Shopping Event,General Audience,124574,General Audience,12082,112492,24259,5328,6074,21.57,4.74,21.96,5.4
92,2024-08-17,Brand Awareness,Women 25-34,190920,Women 25-34,10608,180312,37885,13581,7234,21.01,7.53,35.85,4.01
93,2024-09-04,Holiday Follow Up,Parents 30-50,182765,Parents 30-50,11888,170877,36672,16165,4483,21.46,9.46,44.08,2.62
94,2025-02-04,Clearance Sale,Young Adults 20-30,90441,Young Adults 20-30,5553,84888,22161,4059,1617,26.11,4.78,18.32,1.91
95,2024-08-03,Loyalty Program,Women 25-34,162850,Women 25-34,15327,147523,41389,12407,5033,28.06,8.41,29.98,3.41
96,2024-04-25,Brand Awareness,Young Professionals 25-40,165822,Young Professionals 25-40,13915,151907,35118,17962,3747,23.12,11.82,51.15,2.47
97,2024-06-30,Fitness Gear Promo,Young Adults 20-30,191145,Young Adults 20-30,15175,175970,45597,8293,10747,25.91,4.71,18.19,6.11
98,2024-09-20,Beta Testing Launch,Previous Customers,59270,Previous Customers,3414,55856,12688,3656,1121,22.72,6.55,28.81,2.01
99,2025-01-08,Beta Testing Launch,Shopaholics 25-44,138190,Shopaholics 25-44,8079,130111,32046,13727,1151,24.63,10.55,42.84,0.89
100,2024-06-12,Beta Testing Launch,Tech Enthusiasts 18-45,87359,Tech Enthusiasts 18-45,5587,81772,18405,3045,3907,22.51,3.72,16.54,4.78
101,2024-06-26,Loyalty Program,Previous Customers,139374,Previous Customers,13699,125675,20361,5582,1146,16.2,4.44,27.42,0.91
102,2025-04-23,Beta Testing Launch,Fitness Enthusiasts 18-40,60721,Fitness Enthusiasts 18-40,5402,55319,10095,4895,1946,18.25,8.85,48.49,3.52
103,2024-05-02,Holiday Sales Event,Tech Enthusiasts 18-45,110685,Tech Enthusiasts 18-45,10439,100246,19651,6460,1007,19.6,6.44,32.87,1.01
104,2025-02-05,Loyalty Program,General Audience,69635,General Audience,6611,63024,15452,6293,489,24.52,9.99,40.73,0.78
105,2024-11-01,Brand Awareness,Parents 30-50,147856,Parents 30-50,8783,139073,29482,5271,4074,21.2,3.79,17.88,2.93
106,2024-05-06,Holiday Sales Event,Women 25-34,182888,Women 25-34,11903,170985,29757,13643,6121,17.4,7.98,45.85,3.58
107,2025-01-04,New Product Launch,Fitness Enthusiasts 18-40,65662,Fitness Enthusiasts 18-40,5901,59761,14241,2898,1414,23.83,4.85,20.35,2.37
108,2024-12-15,Holiday Sales Event,Tech Enthusiasts 18-45,92740,Tech Enthusiasts 18-45,6260,86480,16120,4732,2224,18.64,5.47,29.35,2.57
109,2025-04-19,Fitness Gear Promo,Young Professionals 25-40,138576,Young Professionals 25-40,12873,125703,19226,11021,2055,15.3,8.77,57.32,1.64
110,2024-05-03,Loyalty Program,Women 25-34,143214,Women 25-34,9873,133341,29938,11413,8541,22.45,8.56,38.12,6.41
111,2024-07-14,New Product Launch,Tech Enthusiasts 18-45,115190,Tech Enthusiasts 18-45,8207,106983,17080,4360,3745,15.97,4.08,25.53,3.5
112,2025-04-13,Seasonal Discount,Fitness Enthusiasts 18-40,91548,Fitness Enthusiasts 18-40,7579,83969,19591,2938,562,23.33,3.5,15.0,0.67
113,2024-06-06,Loyalty Program,Tech Enthusiasts 18-45,50340,Tech Enthusiasts 18-45,4278,46062,8765,2161,2288,19.03,4.69,24.65,4.97
114,2025-04-16,Loyalty Program,General Audience,166161,General Audience,14367,151794,41556,16113,5445,27.38,10.62,38.77,3.59
115,2024-11-26,Loyalty Program,Frequent Buyers 35-50,87239,Frequent Buyers 35-50,8465,78774,22426,8338,1490,28.47,10.59,37.18,1.89
116,2025-07-12,School Supplies Promo,Environment Advocates,161272,Environment Advocates,14483,146789,36626,8202,9249,24.95,5.59,22.39,6.3
117,2024-09-19,Holiday Sales Event,Environment Advocates,57799,Environment Advocates,3362,54437,14810,3189,3024,27.21,5.86,21.53,5.56
118,2025-05-12,Seasonal Discount,Previous Customers,187351,Previous Customers,15028,172323,32537,15466,1985,18.88,8.98,47.53,1.15
119,2025-06-19,Sustainability Product Launch,Seniors 55+,128546,Seniors 55+,10951,117595,29791,12417,2635,25.33,10.56,41.68,2.24
120,2024-11-01,New Product Launch,Environment Advocates,171147,Environment Advocates,14068,157079,24302,17662,6223,15.47,11.24,72.68,3.96
121,2024-06-20,Fitness Gear Promo,Women 25-34,115028,Women 25-34,7611,107417,16551,4609,986,15.41,4.29,27.85,0.92
122,2024-02-02,Loyalty Program,Parents 30-50,155255,Parents 30-50,10683,144572,22588,5279,5238,15.62,3.65,23.37,3.62
123,2025-04-17,Sustainability Product Launch,Tech Enthusiasts 18-45,183236,Tech Enthusiasts 18-45,12833,170403,48957,14248,5681,28.73,8.36,29.1,3.33
124,2024-07-31,Fitness Gear Promo,Environment Advocates,130054,Environment Advocates,8734,121320,30669,7777,7095,25.28,6.41,25.36,5.85
125,2024-03-03,Major Shopping Event,Frequent Buyers 35-50,94978,Frequent Buyers 35-50,9424,85554,21504,5180,2349,25.14,6.06,24.09,2.75
126,2024-08-03,Fitness Gear Promo,Fitness Enthusiasts 18-40,59058,Fitness Enthusiasts 18-40,3665,55393,12599,3417,282,22.75,6.17,27.12,0.51
127,2024-12-25,Seasonal Discount,Parents 30-50,175508,Parents 30-50,16108,159400,34869,18437,4115,21.88,11.57,52.88,2.58
128,2024-11-10,Holiday Follow Up,Fitness Enthusiasts 18-40,64015,Fitness Enthusiasts 18-40,3708,60307,10640,5102,3772,17.64,8.46,47.95,6.26
129,2024-08-13,New Product Launch,Tech Enthusiasts 18-45,132105,Tech Enthusiasts 18-45,12994,119111,18781,6989,1275,15.77,5.87,37.21,1.07
130,2025-05-12,Seasonal Discount,Previous Customers,167061,Previous Customers,9159,157902,35704,8329,4796,22.61,5.28,23.33,3.04
131,2024-12-24,Loyalty Program,Parents 30-50,112801,Parents 30-50,6035,106766,18735,10014,950,17.55,9.38,53.45,0.89
132,2025-03-03,Brand Awareness,Seniors 55+,131783,Seniors 55+,7874,123909,27392,6557,3973,22.11,5.29,23.94,3.21
133,2025-01-01,Loyalty Program,Shopaholics 25-44,187140,Shopaholics 25-44,12953,174187,45960,5886,4690,26.39,3.38,12.81,2.69
134,2024-03-06,Sustainability Product Launch,Previous Customers,81155,Previous Customers,6378,74777,19645,5537,4003,26.27,7.4,28.19,5.35
135,2025-06-16,Loyalty Program,Parents 30-50,195049,Parents 30-50,10723,184326,38502,8104,10011,20.89,4.4,21.05,5.43
136,2024-07-24,Sustainability Product Launch,Shopaholics 25-44,61306,Shopaholics 25-44,3432,57874,12547,1751,4049,21.68,3.03,13.96,7.0
137,2024-12-16,Clearance Sale,Young Professionals 25-40,140502,Young Professionals 25-40,8649,131853,23104,8705,4074,17.52,6.6,37.68,3.09
138,2024-10-08,Seasonal Discount,Frequent Buyers 35-50,126286,Frequent Buyers 35-50,6785,119501,25350,10576,6293,21.21,8.85,41.72,5.27
139,2024-04-04,Holiday Sales Event,Environment Advocates,165353,Environment Advocates,12243,153110,43714,7427,3421,28.55,4.85,16.99,2.23
140,2025-06-03,Sustainability Product Launch,Frequent Buyers 35-50,59741,Frequent Buyers 35-50,3801,55940,12581,3194,1998,22.49,5.71,25.39,3.57
141,2025-05-11,New Product Launch,Young Professionals 25-40,187519,Young Professionals 25-40,16182,171337,26208,16568,11194,15.3,9.67,63.22,6.53
142,2025-02-18,Beta Testing Launch,Young Adults 20-30,121167,Young Adults 20-30,12000,109167,21149,9131,2474,19.37,8.36,43.17,2.27
143,2024-05-26,Major Shopping Event,Tech Enthusiasts 18-45,67443,Tech Enthusiasts 18-45,5835,61608,14820,2903,4089,24.06,4.71,19.59,6.64
144,2024-12-17,Holiday Sales Event,Young Professionals 25-40,123235,Young Professionals 25-40,9978,113257,18696,8788,6731,16.51,7.76,47.0,5.94
145,2025-05-17,Seasonal Discount,Environment Advocates,113598,Environment Advocates,11136,102462,25185,6606,6948,24.58,6.45,26.23,6.78
146,2025-04-08,Seasonal Discount,General Audience,162055,General Audience,12558,149497,39881,11402,5782,26.68,7.63,28.59,3.87
147,2025-07-17,Holiday Follow Up,Fitness Enthusiasts 18-40,64055,Fitness Enthusiasts 18-40,6107,57948,9363,3148,1825,16.16,5.43,33.62,3.15
148,2024-02-23,Major Shopping Event,Frequent Buyers 35-50,56019,Frequent Buyers 35-50,5339,50680,12026,3729,371,23.73,7.36,31.01,0.73
149,2024-10-13,School Supplies Promo,Shopaholics 25-44,107592,Shopaholics 25-44,8172,99420,28147,9161,3781,28.31,9.21,32.55,3.8
150,2024-08-07,Beta Testing Launch,Parents 30-50,77373,Parents 30-50,5344,72029,20749,7997,3242,28.81,11.1,38.54,4.5
151,2024-09-01,Sustainability Product Launch,Seniors 55+,193660,Seniors 55+,14832,178828,53392,15115,10408,29.86,8.45,28.31,5.82
152,2025-05-03,Beta Testing Launch,Shopaholics 25-44,108560,Shopaholics 25-44,9781,98779,22311,9501,1370,22.59,9.62,42.58,1.39
153,2024-07-07,Major Shopping Event,Environment Advocates,107205,Environment Advocates,7235,99970,19929,5013,6690,19.94,5.02,25.15,6.69
154,2024-10-08,Clearance Sale,Women 25-34,63560,Women 25-34,3276,60284,14071,5110,2889,23.34,8.48,36.32,4.79
155,2024-06-28,Brand Awareness,General Audience,108762,General Audience,7486,101276,23882,5615,859,23.58,5.55,23.51,0.85
156,2024-02-03,Beta Testing Launch,Frequent Buyers 35-50,72308,Frequent Buyers 35-50,6241,66067,16104,4326,2319,24.38,6.55,26.86,3.51
157,2024-11-15,Sustainability Product Launch,Seniors 55+,156998,Seniors 55+,12046,144952,23073,11745,1731,15.92,8.1,50.9,1.19
158,2024-12-15,Clearance Sale,Fitness Enthusiasts 18-40,96047,Fitness Enthusiasts 18-40,5549,90498,20130,6481,825,22.24,7.16,32.2,0.91
159,2024-07-04,Fitness Gear Promo,Young Professionals 25-40,76326,Young Professionals 25-40,4441,71885,11924,6332,3941,16.59,8.81,53.1,5.48
160,2025-04-30,Sustainability Product Launch,Women 25-34,111980,Women 25-34,6962,105018,20502,4321,2968,19.52,4.12,21.08,2.83
161,2024-07-18,Major Shopping Event,General Audience,132386,General Audience,8039,124347,34076,4042,1085,27.4,3.25,11.86,0.87
162,2025-03-11,New Product Launch,Previous Customers,187716,Previous Customers,14802,172914,41605,17546,11201,24.06,10.15,42.17,6.48
163,2024-09-27,Fitness Gear Promo,Seniors 55+,153513,Seniors 55+,7774,145739,37447,7733,5571,25.69,5.31,20.65,3.82
164,2024-07-07,Clearance Sale,Women 25-34,172083,Women 25-34,11482,160601,46766,14042,6481,29.12,8.74,30.03,4.04
165,2024-04-20,Brand Awareness,Previous Customers,84647,Previous Customers,4327,80320,20027,6519,4947,24.93,8.12,32.55,6.16
166,2025-01-26,Beta Testing Launch,Tech Enthusiasts 18-45,129212,Tech Enthusiasts 18-45,10798,118414,35282,10295,7055,29.8,8.69,29.18,5.96
167,2024-11-16,School Supplies Promo,Shopaholics 25-44,197746,Shopaholics 25-44,17867,179879,47786,14423,10400,26.57,8.02,30.18,5.78
168,2024-09-20,Sustainability Product Launch,Shopaholics 25-44,166111,Shopaholics 25-44,10300,155811,36633,16556,10177,23.51,10.63,45.19,6.53
169,2025-04-18,Loyalty Program,Previous Customers,138539,Previous Customers,9669,128870,28018,12947,7626,21.74,10.05,46.21,5.92
170,2024-12-28,School Supplies Promo,General Audience,184048,General Audience,17875,166173,38150,16360,2190,22.96,9.85,42.88,1.32
171,2024-08-11,Seasonal Discount,Fitness Enthusiasts 18-40,119790,Fitness Enthusiasts 18-40,8505,111285,25214,7332,1258,22.66,6.59,29.08,1.13
172,2024-07-28,Fitness Gear Promo,Frequent Buyers 35-50,141891,Frequent Buyers 35-50,9156,132735,39658,13950,8582,29.88,10.51,35.18,6.47
173,2024-07-08,Holiday Sales Event,Shopaholics 25-44,133693,Shopaholics 25-44,11031,122662,29325,10853,2133,23.91,8.85,37.01,1.74
174,2025-03-05,Beta Testing Launch,Young Professionals 25-40,164456,Young Professionals 25-40,9754,154702,45725,6479,3168,29.56,4.19,14.17,2.05
175,2024-11-11,Clearance Sale,Parents 30-50,116307,Parents 30-50,8864,107443,22712,3810,1683,21.14,3.55,16.78,1.57
176,2025-06-06,Seasonal Discount,Environment Advocates,118645,Environment Advocates,9625,109020,22993,4589,7060,21.09,4.21,19.96,6.48
177,2024-02-09,School Supplies Promo,Young Adults 20-30,168292,Young Adults 20-30,10032,158260,26131,15864,4676,16.51,10.02,60.71,2.96
178,2025-01-04,Clearance Sale,Shopaholics 25-44,196209,Shopaholics 25-44,12330,183879,40815,8151,3710,22.2,4.43,19.97,2.02
179,2025-03-25,Sustainability Product Launch,Women 25-34,54870,Women 25-34,3662,51208,8412,2679,969,16.43,5.23,31.85,1.89
180,2024-12-08,Major Shopping Event,Young Adults 20-30,137184,Young Adults 20-30,10755,126429,31009,15102,4794,24.53,11.95,48.7,3.79
181,2024-03-17,Fitness Gear Promo,Fitness Enthusiasts 18-40,170741,Fitness Enthusiasts 18-40,8594,162147,27455,16623,7526,16.93,10.25,60.55,4.64
182,2025-07-22,Beta Testing Launch,General Audience,177386,General Audience,13092,164294,35111,19531,3686,21.37,11.89,55.63,2.24
183,2024-07-25,Major Shopping Event,Seniors 55+,55766,Seniors 55+,4760,51006,12949,1921,1603,25.39,3.77,14.84,3.14
184,2024-12-06,School Supplies Promo,Young Adults 20-30,109536,Young Adults 20-30,10200,99336,16867,5061,2262,16.98,5.09,30.01,2.28
185,2025-01-23,Beta Testing Launch,Shopaholics 25-44,159533,Shopaholics 25-44,8034,151499,37783,4616,2903,24.94,3.05,12.22,1.92
186,2024-03-09,Sustainability Product Launch,Young Adults 20-30,62316,Young Adults 20-30,5756,56560,10049,6764,1545,17.77,11.96,67.31,2.73
187,2024-04-16,Major Shopping Event,Parents 30-50,143629,Parents 30-50,10009,133620,33082,13265,1646,24.76,9.93,40.1,1.23
188,2025-03-13,Holiday Sales Event,General Audience,150177,General Audience,9975,140202,26711,14583,4142,19.05,10.4,54.6,2.95
189,2024-09-04,School Supplies Promo,Shopaholics 25-44,155245,Shopaholics 25-44,13695,141550,24946,5206,4460,17.62,3.68,20.87,3.15
190,2024-02-07,Seasonal Discount,General Audience,132330,General Audience,10794,121536,26952,8038,2968,22.18,6.61,29.82,2.44
191,2024-10-18,Fitness Gear Promo,Tech Enthusiasts 18-45,109104,Tech Enthusiasts 18-45,10771,98333,21590,9764,5213,21.96,9.93,45.22,5.3
192,2025-06-02,Seasonal Discount,Young Professionals 25-40,66202,Young Professionals 25-40,6056,60146,13581,2722,4209,22.58,4.53,20.04,7.0
